"url";"reach_rank";"delta";"country";"country_rank";"populartity"
"http://www.crewwith.me/";"16833886";"N/A";"N/A";"N/A";"17599440"
"http://www.cronoshare.com";"114839";"-36655";"2161";"Spain";"103357"
"http://www.collaborativeconsumption.com/directoryitem/croqqer-2/www.croqqer.com";"306204";"+84369";"201147";"United States";"329791"
"http://www.crowdculture.se";"1199859";"-2034335";"N/A";"N/A";"1313579"
"http://www.crowdangels.pl/";"2405125";"-1540935";"N/A";"N/A";"2057834"
"http://www.crowdcube.com";"42396";"+4446";"1890";"United Kingdom";"40365"
"https://www.crowdrise.com/";"16875";"+984";"3487";"United States";"18187"
"http://www.crowdroaming.com/";"11592836";"+979081";"N/A";"N/A";"10038289"
"http://crowdtransfer.com";"8565480";"N/A";"N/A";"N/A";"9614637"
"http://www.csicatalyst.org/";"14643734";"+7105536";"N/A";"N/A";"15683322"
"http://www.ctsolarlease.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://culturekitchen.com/";"6383649";"-6756228";"N/A";"N/A";"7368854"
"https://cumplo.cl/";"465097";"-14978";"2455";"Chile";"418265"
"http://www.currencyfair.com/";"66667";"-29478";"407";"Ireland";"60441"
"http://www.curvyroad.com/";"4286307";"+215829";"811411";"United States";"3571785"
"http://www.cusecar.org/";"N/A";"N/A";"N/A";"N/A";"N/A"
"https://www.cuttle.com/";"5016872";"+2315517";"N/A";"N/A";"4865465"
"http://www.cyclechalao.com/";"3528673";"-1265206";"N/A";"N/A";"3560550"
"https://www.dabble.co/";"421818";"+131267";"77758";"United States";"429827"
"http://dasradhaus.at/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.collaborativeconsumption.com/directoryitem/date-my-wardrobe-2/www.datemywardrobe.com";"306204";"+84369";"201147";"United States";"329791"
"http://www.collaborativeconsumption.com/directoryitem/date-my-wardrobe/www.datemywardrobe.com";"306204";"+84369";"201147";"United States";"329791"
"http://www.date-up.com/bueroservice/";"2881676";"+745547";"N/A";"N/A";"2654140"
"http://dawanda.com/";"3296";"+12";"114";"Germany";"2370"
"http://www.collaborativeconsumption.com/directoryitem/dcshippers/dcshippers.com";"306204";"+84369";"201147";"United States";"329791"
"http://deal-trotter.com/";"5667821";"+5296099";"N/A";"N/A";"6614465"
"http://www.deelit.nl/";"14910560";"N/A";"N/A";"N/A";"15941552"
"http://denlilletjeneste.dk/da-dk/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.denzeldrive.at/";"7711542";"+183342";"N/A";"N/A";"8687905"
"http://www.descolaai.com/";"2930760";"+1245160";"N/A";"N/A";"2202120"
"http://www.designhaus-marl.de/";"N/A";"N/A";"N/A";"N/A";"N/A"
"https://desksnear.me/";"837302";"-502169";"375169";"United States";"854208"
"https://www.deskwanted.com/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.deways.fr/en/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.diamondthrills.co.uk/";"N/A";"N/A";"N/A";"N/A";"N/A"
"http://www.dignswap.com/";"11417144";"-1201066";"N/A";"N/A";"9877647"
"http://www.digihitch.com";"N/A";"N/A";"N/A";"N/A";"N/A"
